index,dengue_total,surface_temperature_change,CO2_emissions,Tree_covered_areas,solar_electricity_use
BRAZIL_2020,1446298.0,1.452,NaN,439465.1335,10758.396
BRAZIL_2021,975474.0,1.149,NaN,NaN,16760.828999999998
BRAZIL_2022,2226895.0,0.997,NaN,NaN,NaN
BRAZIL_2023,NaN,1.6480000000000001,NaN,NaN,NaN
CAMBODIA_1961,NaN,-0.038,NaN,NaN,NaN
CAMBODIA_1962,NaN,-0.13699999999999998,NaN,NaN,NaN
CAMBODIA_1963,NaN,-0.293,NaN,NaN,NaN
CAMBODIA_1964,NaN,0.18,NaN,NaN,NaN
CAMBODIA_1965,NaN,-0.19,NaN,NaN,NaN
CAMBODIA_1966,NaN,0.441,NaN,NaN,NaN
CAMBODIA_1967,NaN,-0.095,NaN,NaN,NaN
CAMBODIA_1968,NaN,-0.147,NaN,NaN,NaN
CAMBODIA_1969,NaN,0.455,NaN,NaN,NaN
CAMBODIA_1970,NaN,0.055,NaN,NaN,NaN
CAMBODIA_1971,NaN,-0.486,NaN,NaN,NaN
CAMBODIA_1972,NaN,0.013999999999999999,NaN,NaN,NaN
CAMBODIA_1973,NaN,0.322,NaN,NaN,NaN
CAMBODIA_1974,NaN,-0.369,NaN,NaN,NaN
CAMBODIA_1975,NaN,-0.048,NaN,NaN,NaN
CAMBODIA_1976,NaN,-0.483,NaN,NaN,NaN
CAMBODIA_1977,NaN,0.011000000000000001,NaN,NaN,NaN
CAMBODIA_1978,NaN,0.19899999999999998,NaN,NaN,NaN
CAMBODIA_1979,NaN,0.381,NaN,NaN,NaN
CAMBODIA_1980,419.0,0.303,NaN,NaN,NaN
CAMBODIA_1981,498.0,0.264,NaN,NaN,NaN
CAMBODIA_1982,711.0,0.092,NaN,NaN,NaN
CAMBODIA_1983,3545.0,0.447,NaN,NaN,NaN
CAMBODIA_1984,647.0,0.084,NaN,NaN,NaN
CAMBODIA_1985,5980.0,0.23600000000000002,NaN,NaN,NaN
CAMBODIA_1986,2129.0,0.055999999999999994,NaN,NaN,NaN
CAMBODIA_1987,3716.0,0.611,NaN,NaN,NaN
CAMBODIA_1988,1981.0,0.316,NaN,NaN,NaN
CAMBODIA_1989,2237.0,0.218,NaN,NaN,NaN
CAMBODIA_1990,7247.0,0.5579999999999999,NaN,NaN,NaN
CAMBODIA_1991,1882.0,0.465,NaN,NaN,NaN
CAMBODIA_1992,4695.0,0.444,NaN,8876.6658,NaN
CAMBODIA_1993,3913.0,0.317,NaN,8876.6813,NaN
CAMBODIA_1994,1498.0,0.409,NaN,8876.7107,NaN
CAMBODIA_1995,10428.0,0.626,1.4880000000000002,8675.811800000001,NaN
CAMBODIA_1996,1433.0,0.289,1.547,8614.1691,NaN
CAMBODIA_1997,4224.0,0.335,1.662,8506.427599999999,NaN
CAMBODIA_1998,16248.0,1.275,1.903,8368.936099999999,NaN
CAMBODIA_1999,1530.0,0.34299999999999997,1.9280000000000002,8161.9666,NaN
CAMBODIA_2000,3148.0,0.18600000000000003,1.986,7985.9527,0.136
